GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,Współczynnik sukcesu,Przyznana kwota,Pracownicy naukowi,"Kwota/pracownicy naukowi"
HS1SP,B,Wydział Pedagogiczny,Akademia Ignatianum w Krakowie,1,0,0%,0 zł,102,0 zł,MNiSW 2014
HS1SP,B,Wydział Nauk o Bezpieczeństwie,"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego",1,0,0%,0 zł,15,0 zł,MNiSW 2014
HS1SP,B,"Filia w Piotrkowie Trybunalskim Wydział Nauk Społecznych",Uniwersytet Jana Kochanowskiego w Kielcach,1,0,0%,0 zł,53,0 zł,MNiSW 2014
HS1SP,B,Wydział Filologiczno-Pedagogiczny,"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu",1,0,0%,0 zł,31,0 zł,MNiSW 2014
HS1SP,C,Wydział Studiów Społecznych w Poznaniu,Wyższa Szkoła Bezpieczeństwa,1,0,0%,0 zł,41,0 zł,MNiSW 2014
HS1SP,B,Wydział Humanistyczny,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",2,0,0%,0 zł,"47,5",0 zł,MNiSW 2014
HS1SP,B,Wydział Psychologii i Nauk Humanistycznych,"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego",2,0,0%,0 zł,53,0 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Humanistycznych i Społecznych,"Akademia Marynarki Wojennej im. Bohaterów Westerplatte",2,0,0%,0 zł,19,0 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Pedagogicznych,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",2,0,0%,0 zł,32,0 zł,MNiSW 2014
HS1SP,B,Wydział Administracji i Nauk Społecznych,Uniwersytet Kazimierza Wielkiego,2,0,0%,0 zł,54,0 zł,MNiSW 2014
HS1SP,A,Wydział Zarządzania i Dowodzenia,Akademia Obrony Narodowej,2,0,0%,0 zł,105,0 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Społecznych,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",2,0,0%,0 zł,54,0 zł,MNiSW 2014
HS1SP,B,Wydział Pedagogiczny,Akademia im. Jana Długosza w Częstochowie,2,0,0%,0 zł,"72,16",0 zł,MNiSW 2014
HS1SP,B,Wydział Nauk o Bezpieczeństwie,"Wyższa Szkoła Oficerska Wojsk Lądowych im. Generała Tadeusza Kościuszki we Wrocławiu",2,0,0%,0 zł,36,0 zł,MNiSW 2014
HS1SP,B,Wydział Administracji i Nauk Społecznych,Politechnika Warszawska,3,0,0%,0 zł,"57,9",0 zł,MNiSW 2014
HS1SP,B,"Wydział Pedagogiki, Socjologii i Nauk o Zdrowiu",Uniwersytet Zielonogórski,4,0,0%,0 zł,106,0 zł,MNiSW 2014
HS1SP,B,Wydział Pedagogiczny,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",4,0,0%,0 zł,172,0 zł,MNiSW 2014
HS1SP,B,Wydział Zarządzania i Komunikacji Społecznej,"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego",4,0,0%,0 zł,43,0 zł,MNiSW 2014
HS1SP,B,Wydział Nauk o Wychowaniu,Uniwersytet Łódzki,5,0,0%,0 zł,111,0 zł,MNiSW 2014
HS1SP,A,"",Collegium Civitas,5,0,0%,0 zł,30,0 zł,MNiSW 2014
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet Marii Curie-Skłodowskiej,6,0,0%,0 zł,119,0 zł,MNiSW 2014
HS1SP,B,Wydział Humanistyczny,"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach",6,0,0%,0 zł,147,0 zł,MNiSW 2014
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet w Białymstoku,8,0,0%,0 zł,96,0 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Społecznych,Akademia im. Jana Długosza w Częstochowie,8,0,0%,0 zł,53,0 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Warmińsko-Mazurski w Olsztynie,9,0,0%,0 zł,121,0 zł,MNiSW 2014
HS1SP,A,Wydział Studiów Edukacyjnych,Uniwersytet im. Adama Mickiewicza w Poznaniu,10,0,0%,0 zł,123,0 zł
HS1SP,B,Wydział Pedagogiczny,Uniwersytet Warszawski,10,0,0%,0 zł,51,0 zł
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet Kazimierza Wielkiego,11,0,0%,0 zł,90,0 zł
HS1SP,B,"Wydział Etnologii i Nauk o Edukacji w Cieszynie",Uniwersytet Śląski w Katowicach,13,0,0%,0 zł,84,0 zł
HS1SP,A,Wydział Nauk Pedagogicznych,Uniwersytet Mikołaja Kopernika w Toruniu,13,0,0%,0 zł,"51,5",0 zł
HS1SP,B,"Instytut Spraw Społecznych i Stosunków Międzynarodowych",Akademia Finansów i Biznesu Vistula,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,B,Wydział Nauk Humanistycznych i Społecznych,Wyższa Szkoła Administracji w Bielsku-Białej,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,B,"",Wyższa Szkoła Humanitas,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,C,"",Wyższa Szkoła Promocji,6,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS2EK,A,"",Instytut Rozwoju Wsi i Rolnictwa PAN,9,3,33%,976 403 zł,"22,35",43 687 zł
HS2EK,B,"",Instytut Nauk Ekonomicznych PAN,7,2,29%,500 000 zł,26,19 231 zł
HS2FB,A,"",Instytut Slawistyki PAN,14,3,21%,1 749 673 zł,"64,16",27 270 zł
HS2FB,A+,"",Instytut Badań Literackich PAN,21,4,19%,812 449 zł,"101,5",8 004 zł
HS2FB,A,"",Instytut Języka Polskiego PAN,15,1,7%,227 610 zł,76,2 995 zł
HS2HS,A,"",Instytut Archeologii i Etnologii PAN,38,14,37%,5 547 125 zł,"127,4",43 541 zł
HS2HS,B,"","Instytut Kultur Śródziemnomorskich i Orientalnych PAN",4,1,25%,477 525 zł,"24,35",19 611 zł
HS2HS,A+,"",Instytut Sztuki PAN,10,3,30%,448 649 zł,"57,5",7 803 zł
HS2HS,A,"","Instytut Historii Nauki im. Ludwika i Aleksandra Birkenmajerów PAN",6,2,33%,245 500 zł,33,7 439 zł
HS2HS,A+,"",Instytut Historii im. Tadeusza Manteuffla PAN,22,6,27%,767 760 zł,"113,75",6 750 zł
HS2PR,A,"",Instytut Nauk Prawnych PAN,21,6,29%,1 278 690 zł,63,20 297 zł
HS2SP,A,"",Instytut Studiów Politycznych PAN,16,3,19%,2 248 308 zł,76,29 583 zł
HS2SP,A+,"",Instytut Filozofii i Socjologii PAN,31,4,13%,1 054 261 zł,62,17 004 zł
HS2SP,A,"",Instytut Psychologii PAN,12,1,8%,98 090 zł,30,3 270 zł
HS3EK,A,"",Instytut Pracy i Spraw Socjalnych,6,1,17%,287 208 zł,46,6 244 zł
HS3EK,B,"","Instytut Badań Rynku, Konsumpcji i Koniunktur",4,0,0%,0 zł,"34,5",0 zł
HS3HS,A,"","Instytut Zachodni - Instytut Naukowo-Badawczy im. Zygmunta Wojciechowskiego",7,1,14%,70 000 zł,18,3 889 zł
HS3HS,B,"","Państwowy Instytut Naukowy - Instytut Śląski w Opolu",1,0,0%,0 zł,18,0 zł
HS3HS,B,"",Instytut Europy Środkowo-Wschodniej,3,0,0%,0 zł,7,0 zł
HS3SP,B,"",Instytut Badań Edukacyjnych,4,0,0%,0 zł,"58,15",0 zł
NZ1B,A+,"Wydział Biochemii, Biofizyki i Biotechnologii",Uniwersytet Jagielloński,62,18,29%,17 260 687 zł,158,109 245 zł
NZ1B,A+,Wydział Biotechnologii,Uniwersytet Wrocławski,46,12,26%,5 124 088 zł,52,98 540 zł
NZ1B,A,Wydział Biologii,Uniwersytet im. Adama Mickiewicza w Poznaniu,74,21,28%,12 030 744 zł,210,57 289 zł
NZ1B,A,Wydział Biologii,Uniwersytet Gdański,46,10,22%,6 396 852 zł,"138,28",46 260 zł
NZ1B,A,Wydział Biologii,Uniwersytet Warszawski,68,18,26%,8 209 729 zł,185,44 377 zł
NZ1B,A,Wydział Biologii i Ochrony Środowiska,Uniwersytet Łódzki,75,17,23%,5 698 898 zł,200,28 494 zł
NZ1B,B,Wydział Biologii i Biotechnologii,Uniwersytet Marii Curie-Skłodowskiej,27,5,19%,2 816 730 zł,125,22 534 zł
NZ1B,A,Wydział Biologii i Nauk o Ziemi,Uniwersytet Jagielloński,75,14,19%,5 428 086 zł,"256,35",21 175 zł
NZ1B,A,"Międzyuczelniany Wydział Biotechnologii Uniwersytetu Gdańskiego i Gdańskiego","Uniwersytet GdańskiGdański Uniwersytet Medyczny",40,8,20%,1 303 577 zł,"67,75",19 241 zł
NZ1B,A,"Pozawydziałowy Zamiejscowy Instytut Biotechnologii Stosowanej i Nauk",Uniwersytet Rzeszowski,18,1,6%,488 402 zł,27,18 089 zł
NZ1B,B,Wydział Biologii i Ochrony Środowiska,Uniwersytet Mikołaja Kopernika w Toruniu,30,5,17%,1 778 930 zł,103,17 271 zł
NZ1B,A,Wydział Biologii i Ochrony Środowiska,Uniwersytet Śląski w Katowicach,33,7,21%,1 681 588 zł,130,12 935 zł
NZ1B,A,Wydział Biologiczno-Chemiczny,Uniwersytet w Białymstoku,44,6,14%,1 466 163 zł,"117,7",12 457 zł
NZ1B,A,Wydział Nauk Biologicznych,Uniwersytet Wrocławski,19,3,16%,1 227 455 zł,119,10 315 zł
NZ1B,A,Wydział Biologii i Biotechnologii,Uniwersytet Warmińsko-Mazurski w Olsztynie,25,3,12%,293 275 zł,79,3 712 zł
NZ1B,B,Wydział Nauk Biologicznych,Uniwersytet Zielonogórski,2,1,50%,148 760 zł,41,3 628 zł
NZ1B,B,Wydział Nauk Przyrodniczych,Uniwersytet Kazimierza Wielkiego,2,0,0%,0 zł,44,0 zł
NZ1B,B,Wydział Biologii i Nauk o Środowisku,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",3,0,0%,0 zł,30,0 zł
NZ1B,C,Wydział Matematyczno-Przyrodniczy,Akademia Pomorska w Słupsku,6,0,0%,0 zł,87,0 zł
NZ1B,B,Wydział Biologii,Uniwersytet Szczeciński,9,0,0%,0 zł,77,0 zł
NZ1B,B,Wydział Biotechnologii i Nauk o Środowisku,Katolicki Uniwersytet Lubelski Jana Pawła II,11,0,0%,0 zł,73,0 zł
NZ1B,C,Wydział Geograficzno-Biologiczny,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",14,0,0%,0 zł,116,0 zł
NZ1M,A,Wydział Nauk o Zdrowiu,"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu",6,1,17%,1 890 681 zł,86,21 985 zł
NZ1M,A,"Wydział Lekarsko-Biotechnologiczny i Medycyny Laboratoryjnej",Pomorski Uniwersytet Medyczny w Szczecinie,14,4,29%,1 199 793 zł,"58,88",20 377 zł
NZ1M,A,I Wydział Lekarski,Warszawski Uniwersytet Medyczny,104,18,17%,11 458 290 zł,"582,08",19 685 zł
NZ1M,A,Wydział Farmaceutyczny CM,Uniwersytet Jagielloński,50,9,18%,2 949 489 zł,"159,5",18 492 zł
NZ1M,A,"Wydział Nauk Biomedycznych i Kształcenia Podyplomowego",Uniwersytet Medyczny w Łodzi,23,3,13%,811 250 zł,"54,5",14 885 zł
NZ1M,A,"Wydział Farmaceutyczny z Oddziałem Analityki Medycznej",Uniwersytet Medyczny w Lublinie,13,4,31%,2 253 871 zł,"160,8",14 017 zł
NZ1M,A,"Wydział Nauki o Zdrowiu z Oddziałem Pielęgniarstwa, Oddziałem Zdrowia",Warszawski Uniwersytet Medyczny,5,2,40%,1 491 115 zł,114,13 080 zł
NZ1M,A,Wydział Lekarski,Uniwersytet Medyczny w Łodzi,66,12,18%,4 781 528 zł,"375,81",12 723 zł
NZ1M,A,Wydział Lekarski CM,Uniwersytet Jagielloński,108,18,17%,9 549 189 zł,"800,67",11 926 zł
NZ1M,B,Wydział Fizjoterapii,Akademia Wychowania Fizycznego we Wrocławiu,5,1,20%,542 584 zł,53,10 237 zł
NZ1M,B,"",Centrum Medyczne Kształcenia Podyplomowego,12,2,17%,1 483 118 zł,170,8 724 zł
NZ1M,A+,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Gdański Uniwersytet Medyczny,20,5,25%,1 143 850 zł,"132,25",8 649 zł
NZ1M,A,Wydział Farmaceutyczny,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu",57,4,7%,1 191 990 zł,141,8 454 zł
NZ1M,A,"II Wydział Lekarski z Oddziałem Anglojęzycznym",Uniwersytet Medyczny w Lublinie,25,4,16%,3 437 713 zł,427,8 051 zł
NZ1M,A,Wydział Lekarski II,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu",40,5,13%,3 759 150 zł,"467,9",8 034 zł
NZ1M,B,Wydział Lekarski,"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu",32,4,13%,2 348 273 zł,302,7 776 zł
NZ1M,A,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Warszawski Uniwersytet Medyczny,28,4,14%,1 301 680 zł,173,7 524 zł
NZ1M,A,Wydział Farmaceutyczny,Uniwersytet Medyczny w Łodzi,26,2,8%,669 570 zł,91,7 358 zł
NZ1M,A+,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Uniwersytet Medyczny w Białymstoku,11,1,9%,837 668 zł,"123,5",6 783 zł
NZ1M,B,Wydział Wojskowo-Lekarski,Uniwersytet Medyczny w Łodzi,28,1,4%,1 168 700 zł,226,5 171 zł
NZ1M,A,"Wydział Nauk o Zdrowiu z Oddziałem Pielęgniarstwa i Instytutem Medycyny",Gdański Uniwersytet Medyczny,23,2,9%,652 540 zł,"158,28",4 123 zł
NZ1M,A,Wydział Nauk o Zdrowiu CM,Uniwersytet Jagielloński,13,2,15%,620 698 zł,"153,5",4 044 zł
NZ1M,A,Wydział Lekarski Kształcenia Podyplomowego,"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu",28,3,11%,1 079 602 zł,316,3 416 zł
NZ1M,A,Wydział Farmaceutyczny CM,Uniwersytet Mikołaja Kopernika w Toruniu,15,3,20%,329 577 zł,"109,91",2 999 zł
NZ1M,A,Wydział Lekarski,Gdański Uniwersytet Medyczny,55,3,5%,1 432 818 zł,"524,75",2 730 zł
NZ1M,A,"Wydział Lekarski z Oddziałem Nauczania w Języku Angielskim",Pomorski Uniwersytet Medyczny w Szczecinie,17,2,12%,550 550 zł,"211,08",2 608 zł
NZ1M,A,"Wydział Lekarski z Oddziałem Stomatologii i Oddziałem Nauczania w Języku Angielskim",Uniwersytet Medyczny w Białymstoku,14,2,14%,928 942 zł,373,2 490 zł
NZ1M,B,"Wydział Wychowania Fizycznego, Sportu i Rehabilitacji","Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu",5,1,20%,293 240 zł,148,1 981 zł
NZ1M,A,Wydział Nauk o Zdrowiu,Uniwersytet Medyczny w Łodzi,22,1,5%,190 750 zł,121,1 576 zł
NZ1M,C,"Wydział Kultury Fizycznej, Zdrowia i Turystyki",Uniwersytet Kazimierza Wielkiego,2,1,50%,51 900 zł,51,1 018 zł
NZ1M,A,Wydział Lekarski w Katowicach,Śląski Uniwersytet Medyczny w Katowicach,16,1,6%,150 000 zł,"292,13",513 zł
NZ1M,B,"",Wyższa Szkoła Gospodarki w Bydgoszczy,1,0,0%,0 zł,172,0 zł
NZ1M,B,Wydział Turystyki i Rekreacji,"Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu",1,0,0%,0 zł,25,0 zł
NZ1M,C,Wydział Turystyki i Rekreacji,"Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie",1,0,0%,0 zł,37,0 zł
NZ1M,B,Wydział Nauk o Sporcie,Akademia Wychowania Fizycznego we Wrocławiu,1,0,0%,0 zł,34,0 zł
NZ1M,A,Wydział Nauk o Zdrowiu,Uniwersytet Medyczny w Białymstoku,1,0,0%,0 zł,"121,18",0 zł
NZ1M,C,Wydział Turystyki i Rekreacji,"Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie",1,0,0%,0 zł,40,0 zł
NZ1M,B,"","Państwowa Wyższa Szkoła Informatyki i Przedsiębiorczości w Łomży",1,0,0%,0 zł,44,0 zł
NZ1M,B,Wydział Wychowania Fizycznego,"Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie",2,0,0%,0 zł,54,0 zł
NZ1M,B,Wydział Nauk o Zdrowiu,Uniwersytet Jana Kochanowskiego w Kielcach,2,0,0%,0 zł,"92,5",0 zł
NZ1M,B,Wydział Fizjoterapii,"Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach",2,0,0%,0 zł,36,0 zł
NZ1M,B,Wydział Zdrowia Publicznego,Śląski Uniwersytet Medyczny w Katowicach,2,0,0%,0 zł,60,0 zł
NZ1M,C,Wydział Wychowania Fizycznego i Fizjoterapii,Politechnika Opolska,2,0,0%,0 zł,70,0 zł
NZ1M,B,Wydział Nauk o Zdrowiu CM,Uniwersytet Mikołaja Kopernika w Toruniu,2,0,0%,0 zł,"189,09",0 zł
NZ1R,A,Wydział Hodowli i Biologii Zwierząt,Uniwersytet Przyrodniczy w Poznaniu,24,4,17%,2 785 666 zł,114,24 436 zł
NZ1R,A,Wydział Biologii i Hodowli Zwierząt,Uniwersytet Przyrodniczy we Wrocławiu,14,2,14%,1 510 020 zł,81,18 642 zł
NZ1R,B,Wydział Hodowli i Biologii Zwierząt,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",11,2,18%,1 394 283 zł,83,16 799 zł
NZ1R,B,Wydział Ogrodniczy,"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie",10,1,10%,1 498 584 zł,108,13 876 zł
NZ1R,A,Wydział Technologii Drewna,Uniwersytet Przyrodniczy w Poznaniu,19,1,5%,798 452 zł,"69,5",11 489 zł
NZ1R,A,Wydział Bioinżynierii Zwierząt,Uniwersytet Warmińsko-Mazurski w Olsztynie,4,1,25%,796 159 zł,74,10 759 zł
NZ1R,A,Wydział Nauk o Żywności i Żywieniu,Uniwersytet Przyrodniczy w Poznaniu,21,2,10%,1 310 776 zł,131,10 006 zł
NZ1R,A,Wydział Medycyny Weterynaryjnej,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",20,3,15%,1 560 380 zł,168,9 288 zł
NZ1R,B,Wydział Hodowli i Biologii Zwierząt,"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie",16,2,13%,789 926 zł,90,8 777 zł
NZ1R,B,"Wydział Ogrodnictwa i Architektury Krajobrazu",Uniwersytet Przyrodniczy w Poznaniu,7,1,14%,857 500 zł,98,8 750 zł
NZ1R,A,Wydział Biotechnologii i Nauk o Żywności,Politechnika Łódzka,18,4,22%,883 120 zł,103,8 574 zł
NZ1R,A,Wydział Nauk o Środowisku,Uniwersytet Warmińsko-Mazurski w Olsztynie,35,2,6%,633 350 zł,75,8 445 zł
NZ1R,A,Wydział Technologii Żywności,"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie",21,1,5%,668 610 zł,104,6 429 zł
NZ1R,A,Wydział Rolnictwa i Biologii,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",11,1,9%,605 084 zł,"105,25",5 749 zł
NZ1R,B,Wydział Biologiczno-Rolniczy,Uniwersytet Rzeszowski,11,1,9%,645 720 zł,117,5 519 zł
NZ1R,B,Wydział Przyrodniczo-Technologiczny,Uniwersytet Przyrodniczy we Wrocławiu,28,6,21%,1 020 004 zł,"197,55",5 163 zł
NZ1R,A,Wydział Medycyny Weterynaryjnej,Uniwersytet Przyrodniczy we Wrocławiu,10,1,10%,579 960 zł,122,4 754 zł
NZ1R,B,Wydział Rolnictwa i Biotechnologii,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",4,1,25%,469 381 zł,100,4 694 zł
NZ1R,A,Wydział Kształtowania Środowiska i Rolnictwa,Uniwersytet Warmińsko-Mazurski w Olsztynie,17,1,6%,682 500 zł,149,4 581 zł
NZ1R,A,Wydział Nauki o Żywności,Uniwersytet Warmińsko-Mazurski w Olsztynie,14,1,7%,375 000 zł,104,3 606 zł
NZ1R,B,Wydział Rolniczo-Ekonomiczny,"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie",7,1,14%,452 914 zł,161,2 813 zł
NZ1R,B,Wydział Biotechnologii i Hodowli Zwierząt,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",6,1,17%,99 840 zł,"64,5",1 548 zł
NZ1R,B,Wydział Medycyny Weterynaryjnej,Uniwersytet Przyrodniczy w Lublinie,7,1,14%,149 500 zł,119,1 256 zł
NZ1R,A,Wydział Nauk o Żywności i Biotechnologii,Uniwersytet Przyrodniczy w Lublinie,10,1,10%,99 902 zł,81,1 233 zł
NZ1R,A,Wydział Nauk o Żywności,Uniwersytet Przyrodniczy we Wrocławiu,14,1,7%,74 928 zł,"113,6",660 zł
NZ1R,B,Zamiejscowy Wydział Leśny w Hajnówce,Politechnika Białostocka,1,0,0%,0 zł,10,0 zł
NZ1R,B,Wydział Inżynierii Produkcji,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",1,0,0%,0 zł,56,0 zł
NZ1R,C,Wydział Nauk Rolniczych w Zamościu,Uniwersytet Przyrodniczy w Lublinie,1,0,0%,0 zł,24,0 zł
NZ1R,B,Wydział Technologii Drewna,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",2,0,0%,0 zł,56,0 zł
NZ1R,B,Wydział Kształtowania Środowiska i Rolnictwa,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",3,0,0%,0 zł,"102,25",0 zł
NZ1R,B,Wydział Leśny,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",3,0,0%,0 zł,75,0 zł
NZ1R,B,Wydział Nauk o Żywności i Rybactwa,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",3,0,0%,0 zł,"69,5",0 zł
NZ1R,B,Wydział Leśny,"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie",4,0,0%,0 zł,86,0 zł
NZ1R,B,"Wydział Nauk o Żywieniu Człowieka i Konsumpcji","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",4,0,0%,0 zł,117,0 zł
NZ1R,B,Wydział Biologii i Hodowli Zwierząt,Uniwersytet Przyrodniczy w Lublinie,4,0,0%,0 zł,133,0 zł
NZ1R,B,Wydział Inżynierii Produkcji i Energetyki,"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie",4,0,0%,0 zł,59,0 zł
NZ1R,B,Wydział Agrobioinżynierii,Uniwersytet Przyrodniczy w Lublinie,5,0,0%,0 zł,123,0 zł
NZ1R,B,Wydział Przyrodniczy,"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach",5,0,0%,0 zł,141,0 zł
NZ1R,B,Wydział Melioracji i Inżynierii Środowiska,Uniwersytet Przyrodniczy w Poznaniu,6,0,0%,0 zł,77,0 zł
NZ1R,B,Wydział Nauk Technicznych,Uniwersytet Warmińsko-Mazurski w Olsztynie,7,0,0%,0 zł,88,0 zł
NZ1R,B,Wydział Inżynierii Produkcji,Uniwersytet Przyrodniczy w Lublinie,8,0,0%,0 zł,143,0 zł
NZ1R,B,"Wydział Ogrodnictwa i Architektury Krajobrazu",Uniwersytet Przyrodniczy w Lublinie,8,0,0%,0 zł,110,0 zł
NZ1R,B,Wydział Rolnictwa i Bioinżynierii,Uniwersytet Przyrodniczy w Poznaniu,10,0,0%,0 zł,147,0 zł
NZ1R,B,Wydział Inżynierii Środowiska i Geodezji,"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie",10,0,0%,0 zł,107,0 zł
NZ1R,A,Wydział Nauk o Żywności,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",11,0,0%,0 zł,90,0 zł
NZ1R,A,Wydział Nauk o Zwierzętach,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",14,0,0%,0 zł,75,0 zł
NZ1R,A,Wydział Medycyny Weterynaryjnej,Uniwersytet Warmińsko-Mazurski w Olsztynie,15,0,0%,0 zł,93,0 zł
NZ1Z,A,Wydział Nauk Geograficznych i Geologicznych,Uniwersytet im. Adama Mickiewicza w Poznaniu,60,9,15%,4 658 054 zł,"161,33",28 873 zł
NZ1Z,B,Wydział Oceanografii i Geografii,Uniwersytet Gdański,27,3,11%,1 870 672 zł,"141,42",13 228 zł
NZ1Z,B,Wydział Nauk o Ziemi,Uniwersytet Szczeciński,22,3,14%,768 458 zł,68,11 301 zł
NZ1Z,B,Wydział Nauk Geograficznych,Uniwersytet Łódzki,7,2,29%,708 100 zł,83,8 531 zł
NZ1Z,B,"Wydział Nauk o Ziemi i Kształtowania Środowiska",Uniwersytet Wrocławski,16,2,13%,890 470 zł,109,8 169 zł
NZ1Z,B,Wydział Geografii i Studiów Regionalnych,Uniwersytet Warszawski,14,2,14%,528 034 zł,"79,5",6 642 zł
NZ1Z,A,"Wydział Geologii, Geofizyki i Ochrony Środowiska","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",25,6,24%,1 034 449 zł,202,5 121 zł
NZ1Z,A,Wydział Geologii,Uniwersytet Warszawski,8,1,13%,99 133 zł,86,1 153 zł
NZ1Z,B,"Wydział Nauk o Ziemi i Gospodarki Przestrzennej",Uniwersytet Marii Curie-Skłodowskiej,3,0,0%,0 zł,"97,5",0 zł
NZ1Z,B,Wydział Nauk o Ziemi,Uniwersytet Mikołaja Kopernika w Toruniu,4,0,0%,0 zł,"60,5",0 zł
NZ2B,A,"",Instytut Biologii Ssaków PAN,10,6,60%,4 176 478 zł,26,160 634 zł
NZ2B,A+,"","Międzynarodowy Instytut Biologii Molekularnej i Komórkowej",14,6,43%,11 780 838 zł,81,145 442 zł
NZ2B,A,"",Instytut Chemii Bioorganicznej PAN,41,11,27%,14 295 860 zł,"102,2",139 881 zł
NZ2B,A,"",Instytut Farmakologii PAN,43,19,44%,12 575 319 zł,"132,9",94 622 zł
NZ2B,A+,"",Instytut Biochemii i Biofizyki PAN,81,21,26%,12 577 870 zł,"134,6",93 446 zł
NZ2B,A,"","Instytut Biologii Doświadczalnej im. M. Nenckiego PAN",82,20,24%,11 396 932 zł,156,73 057 zł
NZ2B,B,"",Instytut Biologii Medycznej PAN,28,5,18%,2 295 532 zł,"33,95",67 615 zł
NZ2B,A,"",Instytut Genetyki Człowieka PAN,32,7,22%,3 292 956 zł,"57,5",57 269 zł
NZ2B,A,"",Instytut Botaniki im. Władysława Szafera PAN,13,4,31%,2 024 556 zł,71,28 515 zł
NZ2B,A,"","Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda PAN",50,6,12%,4 329 850 zł,"158,1",27 387 zł
NZ2B,A,"",Instytut Systematyki i Ewolucji Zwierząt PAN,8,1,13%,655 800 zł,28,23 421 zł
NZ2B,A,"","Instytut Medycyny Doświadczalnej i Klinicznej im. Mirosława Mossakowskiego PAN",35,6,17%,2 514 598 zł,"184,16",13 654 zł
NZ2B,A,"",Muzeum i Instytut Zoologii PAN,18,3,17%,531 839 zł,"41,5",12 815 zł
NZ2B,A,"",Instytut Paleobiologii im. Romana Kozłowskiego PAN,6,2,33%,229 280 zł,18,12 738 zł
