GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,Współczynnik sukcesu,Przyznana kwota,Pracownicy naukowi,"Kwota/pracownicy naukowi"
HS1EK,B,"","Wyższa Szkoła Gospodarki Euroregionalnej im. Alcide De Gasperi w Józefowie",2,0,0%,0 zł,52,0 zł,POLON 2014
HS1EK,B,Wydział Turystyki i Rekreacji,Szkoła Główna Turystyki i Rekreacji,2,0,0%,0 zł,19,0 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomiczno-Informatyczny w Wilnie,Uniwersytet w Białymstoku,2,0,0%,0 zł,"15,33",0 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomiczno-Menedżerski,Wyższa Szkoła Handlowa we Wrocławiu,2,0,0%,0 zł,34,0 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomiczny,Uniwersytet Opolski,3,0,0%,0 zł,47,0 zł,MNiSW 2014
HS1EK,B,Wydział Zarządzania,Politechnika Rzeszowska im. Ignacego Łukasiewicza,3,0,0%,0 zł,126,0 zł,MNiSW 2014
HS1EK,B,"",Wyższa Szkoła Bankowa w Toruniu,3,0,0%,0 zł,64,0 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomiczny,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",3,0,0%,0 zł,"58,5",0 zł,MNiSW 2014
HS1EK,A,"Wydział Zarządzania, Informatyki i Nauk Społecznych",Wyższa Szkoła Biznesu w Dąbrowie Górniczej,3,0,0%,0 zł,62,0 zł,MNiSW 2014
HS1EK,B,Wydział Przedsiębiorczości i Towaroznawstwa,Akademia Morska w Gdyni,4,0,0%,0 zł,101,0 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomii i Zarządzania,Politechnika Opolska,4,0,0%,0 zł,"55,5",0 zł,MNiSW 2014
HS1EK,B,Wydział Zarządzania,Politechnika Lubelska,4,0,0%,0 zł,60,0 zł,MNiSW 2014
HS1EK,A,Wydział Zarządzania,Społeczna Akademia Nauk,4,0,0%,0 zł,131,0 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomiczny,"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu",5,0,0%,0 zł,49,0 zł,MNiSW 2014
HS1EK,A,"Wydział Ekonomii, Zarządzania i Turystyki",Uniwersytet Ekonomiczny we Wrocławiu,6,0,0%,0 zł,91,0 zł,MNiSW 2014
HS1EK,B,Wydział Zarządzania i Logistyki,Wyższa Szkoła Logistyki w Poznaniu,6,0,0%,0 zł,24,0 zł,MNiSW 2014
HS1EK,B,Wydział Zarządzania,Politechnika Częstochowska,7,0,0%,0 zł,204,0 zł,MNiSW 2014
HS1EK,B,Wydział Finansów i Ubezpieczeń,Uniwersytet Ekonomiczny w Katowicach,7,0,0%,0 zł,94,0 zł,MNiSW 2014
HS1EK,B,Wydział Nauk Ekonomicznych,Politechnika Koszalińska,8,0,0%,0 zł,52,0 zł,MNiSW 2014
HS1EK,B,Wydział Inżynierii Zarządzania,Politechnika Poznańska,8,0,0%,0 zł,106,0 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomiczny,Uniwersytet Gdański,9,0,0%,0 zł,121,0 zł,MNiSW 2014
