GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu","Przyznana kwota","Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1SP,B,Wydział Zarządzania i Administracji,Uniwersytet Jana Kochanowskiego w Kielcach,6,0,0%,0 zł,115,0 zł
HS1SP,B,Wydział Humanistyczny,Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach,6,0,0%,0 zł,147,0 zł
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet w Białymstoku,3,0,0%,0 zł,96,0 zł
HS1SP,B,Wydział Nauk Społecznych,Akademia im. Jana Długosza w Częstochowie,4,0,0%,0 zł,53,0 zł
HS1SP,A,"",Collegium Civitas,3,0,0%,0 zł,30,0 zł
HS1SP,B,Wydział Psychologii i Nauk Humanistycznych,"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego",4,0,0%,0 zł,53,0 zł
HS1SP,B,Wydział Administracji i Nauk Społecznych,Politechnika Warszawska,3,0,0%,0 zł,"57,9",0 zł
HS1SP,B,Wydział Nauk Humanistycznych i Społecznych,"Akademia Marynarki Wojennej im. Bohaterów Westerplatte",3,0,0%,0 zł,19,0 zł
HS1SP,B,Wydział Nauk Pedagogicznych,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",3,0,0%,0 zł,32,0 zł
HS1SP,B,Wydział Administracji i Nauk Społecznych,Uniwersytet Kazimierza Wielkiego,3,0,0%,0 zł,54,0 zł
HS1SP,B,Wydział Pedagogiczny,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",1,0,0%,0 zł,172,0 zł
HS1SP,A,Wydział Zarządzania i Dowodzenia,Akademia Obrony Narodowej,2,0,0%,0 zł,105,0 zł
HS1SP,B,"Wydział Zamiejscowy Nauk o Społeczeństwie w Stalowej Woli",Katolicki Uniwersytet Lubelski Jana Pawła II,2,0,0%,0 zł,93,0 zł
HS1SP,B,Wydział Nauk Społecznych,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,1,0,0%,0 zł,54,0 zł
HS1SP,B,Wydział Politologii,Wyższa Szkoła Finansów i Zarządzania w Warszawie,2,0,0%,0 zł,11,0 zł
HS1SP,B,Wydział Dowodzenia i Operacji Morskich,"Akademia Marynarki Wojennej im. Bohaterów Westerplatte",2,0,0%,0 zł,30,0 zł
HS1SP,B,Wydział Studiów nad Rodziną,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",1,0,0%,0 zł,17,0 zł
HS1SP,B,Centrum Europejskie,Uniwersytet Warszawski,1,0,0%,0 zł,28,0 zł
HS1SP,B,Wydział Pedagogiczny,Akademia Ignatianum w Krakowie,4,0,0%,0 zł,102,0 zł
HS1SP,B,Wydział Nauk Społecznych,Akademia Pomorska w Słupsku,1,0,0%,0 zł,100,0 zł
HS1SP,B,Wydział Nauk Humanistycznych i Społecznych,Wyższa Szkoła Administracji w Bielsku-Białej,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,B,Wydział Studiów Międzynarodowych,Wyższa Szkoła Administracji w Bielsku-Białej,3,1,33%,478 866 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,C,"",Wyższa Szkoła Promocji,6,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,B,"",Wyższa Szkoła Studiów Międzynarodowych,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS2SP,A,"",Instytut Psychologii PAN,13,6,46%,3 300 160 zł,30,110 005 zł
HS2SP,A+,"",Instytut Filozofii i Socjologii PAN,23,8,35%,4 018 449 zł,62,64 814 zł
HS2SP,A,"",Instytut Studiów Politycznych PAN,17,3,18%,451 505 zł,76,5 941 zł
HS1FT,B,Wydział Teologiczny,Uniwersytet Papieski Jana Pawła II w Krakowie,26,4,15%,378 375 zł,56,6 757 zł
HS1FT,A,Wydział Teologii,Uniwersytet Warmińsko-Mazurski w Olsztynie,6,2,33%,255 079 zł,43,5 932 zł
HS1FT,A,Wydział Teologii,Katolicki Uniwersytet Lubelski Jana Pawła II,12,2,17%,712 271 zł,145,4 912 zł
HS1FT,A,Wydział Filozofii Chrześcijańskiej,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",13,5,38%,400 713 zł,88,4 554 zł
HS1FT,A+,Wydział Humanistyczny,Uniwersytet Mikołaja Kopernika w Toruniu,15,3,20%,229 970 zł,"63,5",3 622 zł
HS1FT,A,Wydział Teologiczny,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",9,1,11%,55 913 zł,"110,19",507 zł
HS1FT,A,Wydział Filozofii,Katolicki Uniwersytet Lubelski Jana Pawła II,8,1,13%,29 536 zł,"78,75",375 zł
HS1FT,A,Wydział Teologiczny,Uniwersytet Mikołaja Kopernika w Toruniu,2,0,0%,0 zł,"31,5",0 zł
HS1FT,A,Wydział Filozoficzny,Uniwersytet Papieski Jana Pawła II w Krakowie,3,0,0%,0 zł,28,0 zł
HS1FT,B,Wydział Teologiczny,Uniwersytet Śląski w Katowicach,6,0,0%,0 zł,"37,75",0 zł
HS1FT,B,Wydział Filozoficzny,Akademia Ignatianum w Krakowie,3,0,0%,0 zł,56,0 zł
HS1FT,A,Wydział Teologiczny,Uniwersytet im. Adama Mickiewicza w Poznaniu,1,0,0%,0 zł,59,0 zł
HS1FT,B,Wydział Teologiczny,Chrześcijańska Akademia Teologiczna w Warszawie,3,0,0%,0 zł,18,0 zł
NZ1B,A+,"Wydział Biochemii, Biofizyki i Biotechnologii",Uniwersytet Jagielloński,60,29,48%,24 860 001 zł,158,157 342 zł
NZ1B,A+,Wydział Biotechnologii,Uniwersytet Wrocławski,25,7,28%,6 391 689 zł,52,122 917 zł
NZ1B,A,"Międzyuczelniany Wydział Biotechnologii Uniwersytetu Gdańskiego i Gdańskiego Uniwersytetu","Uniwersytet GdańskiGdański Uniwersytet Medyczny",31,12,39%,7 915 291 zł,"67,75",116 831 zł
NZ1B,A,Wydział Biologii,Uniwersytet Warszawski,63,27,43%,12 905 566 zł,185,69 760 zł
NZ1B,A,Wydział Biologii,Uniwersytet im. Adama Mickiewicza w Poznaniu,78,28,36%,11 436 846 zł,210,54 461 zł
NZ1B,A,Wydział Biologii i Nauk o Ziemi,Uniwersytet Jagielloński,93,31,33%,11 023 146 zł,"256,35",43 000 zł
NZ1B,A,Wydział Biologii,Uniwersytet Gdański,42,14,33%,5 824 569 zł,"138,28",42 122 zł
NZ1B,A,Wydział Nauk Biologicznych,Uniwersytet Wrocławski,30,11,37%,4 068 394 zł,119,34 188 zł
NZ1B,A,"Pozawydziałowy Zamiejscowy Instytut Biotechnologii Stosowanej i Nauk Podstawowych",Uniwersytet Rzeszowski,13,2,15%,848 310 zł,27,31 419 zł
NZ1B,B,Wydział Biologii i Biotechnologii,Uniwersytet Marii Curie-Skłodowskiej,21,6,29%,2 843 105 zł,125,22 745 zł
NZ1B,A,Wydział Biologii i Biotechnologii,Uniwersytet Warmińsko-Mazurski w Olsztynie,21,5,24%,1 359 141 zł,79,17 204 zł
NZ1B,A,Wydział Biologii i Ochrony Środowiska,Uniwersytet Łódzki,61,10,16%,3 176 085 zł,200,15 880 zł
NZ1B,A,Wydział Biologiczno-Chemiczny,Uniwersytet w Białymstoku,31,6,19%,1 802 303 zł,"117,7",15 313 zł
NZ1B,A,Wydział Biologii i Ochrony Środowiska,Uniwersytet Śląski w Katowicach,24,8,33%,1 813 494 zł,130,13 950 zł
NZ1B,B,Wydział Biologii i Ochrony Środowiska,Uniwersytet Mikołaja Kopernika w Toruniu,29,5,17%,1 362 026 zł,103,13 224 zł
NZ1B,C,Wydział Matematyczno-Przyrodniczy,Akademia Pomorska w Słupsku,11,1,9%,888 000 zł,87,10 207 zł
NZ1B,B,Wydział Biotechnologii i Nauk o Środowisku,Katolicki Uniwersytet Lubelski Jana Pawła II,4,1,25%,426 200 zł,73,5 838 zł
NZ1B,B,Wydział Nauk Przyrodniczych,Uniwersytet Kazimierza Wielkiego,2,2,100%,168 000 zł,44,3 818 zł
NZ1B,B,Wydział Nauk Biologicznych,Uniwersytet Zielonogórski,2,0,0%,0 zł,41,0 zł
NZ1B,C,Wydział Geograficzno-Biologiczny,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",13,0,0%,0 zł,116,0 zł
NZ1B,C,Wydział Przyrodniczo-Techniczny,Uniwersytet Opolski,13,0,0%,0 zł,83,0 zł
NZ1B,B,Wydział Biologii,Uniwersytet Szczeciński,6,0,0%,0 zł,77,0 zł
NZ1B,B,Wydział Biologii i Nauk o Środowisku,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",1,0,0%,0 zł,30,0 zł
NZ2B,A,"",Instytut Farmakologii PAN,50,25,50%,23 701 014 zł,"132,9",178 337 zł
NZ2B,A,"",Instytut Chemii Bioorganicznej PAN,39,13,33%,16 343 807 zł,"102,2",159 920 zł
NZ2B,A,"",Instytut Paleobiologii im. Romana Kozłowskiego PAN,10,8,80%,2 313 879 zł,18,128 549 zł
NZ2B,B,"",Europejskie Regionalne Centrum Ekohydrologii PAN,3,3,100%,1 160 244 zł,11,105 477 zł
NZ2B,A+,"",Instytut Biochemii i Biofizyki PAN,68,23,34%,10 980 428 zł,"134,6",81 578 zł
NZ2B,A,"",Instytut Genetyki Człowieka PAN,39,7,18%,3 556 307 zł,"57,5",61 849 zł
NZ2B,A+,"","Międzynarodowy Instytut Biologii Molekularnej i Komórkowej",7,4,57%,4 740 000 zł,81,58 519 zł
NZ2B,A,"",Instytut Biologii Ssaków PAN,8,4,50%,1 126 650 zł,26,43 333 zł
NZ2B,A,"",Instytut Ochrony Przyrody PAN,13,2,15%,1 081 139 zł,"34,5",31 337 zł
NZ2B,A,"","Instytut Medycyny Doświadczalnej i Klinicznej im. Mirosława Mossakowskiego PAN",41,12,29%,5 352 124 zł,"184,16",29 062 zł
NZ2B,A,"","Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda PAN",43,10,23%,4 273 524 zł,"158,1",27 031 zł
NZ2B,A,"",Muzeum i Instytut Zoologii PAN,15,4,27%,1 112 587 zł,"41,5",26 809 zł
NZ2B,A,"",Instytut Systematyki i Ewolucji Zwierząt PAN,13,4,31%,710 396 zł,28,25 371 zł
NZ2B,B,"",Instytut Biologii Medycznej PAN,9,2,22%,635 450 zł,"33,95",18 717 zł
NZ2B,B,"",Instytut Parazytologii im. Witolda Stefańskiego PAN,2,1,50%,306 000 zł,33,9 273 zł
NZ2B,A,"",Instytut Botaniki im. Władysława Szafera PAN,10,0,0%,0 zł,71,0 zł
NZ1M,A,Wydział Nauk o Zdrowiu,Uniwersytet Medyczny w Łodzi,20,3,15%,3 625 657 zł,121,29 964 zł
NZ1M,A+,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Gdański Uniwersytet Medyczny,32,8,25%,3 289 372 zł,"132,25",24 872 zł
NZ1M,A,"Wydział Nauk Biomedycznych i Kształcenia Podyplomowego",Uniwersytet Medyczny w Łodzi,23,3,13%,1 209 977 zł,"54,5",22 201 zł
NZ1M,A,Wydział Farmaceutyczny CM,Uniwersytet Mikołaja Kopernika w Toruniu,14,4,29%,2 321 651 zł,"109,91",21 123 zł
NZ1M,B,Wydział Rehabilitacji Ruchowej,"Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie",5,1,20%,986 784 zł,48,20 558 zł
NZ1M,A,Wydział Lekarski CM,Uniwersytet Jagielloński,132,26,20%,13 212 097 zł,"800,67",16 501 zł
NZ1M,B,Wydział Wychowania Fizycznego,"Akademia Wychowania Fizycznego Józefa Piłsudskiego wWarszawie",3,1,33%,839 356 zł,54,15 544 zł
NZ1M,A+,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Uniwersytet Medyczny w Białymstoku,15,5,33%,1 873 370 zł,"123,5",15 169 zł
NZ1M,A,Wydział Farmaceutyczny,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu",37,10,27%,1 810 478 zł,141,12 840 zł
NZ1M,A,Wydział Lekarski,Uniwersytet Medyczny w Łodzi,69,12,17%,4 741 197 zł,"375,81",12 616 zł
NZ1M,A,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Warszawski Uniwersytet Medyczny,41,8,20%,1 898 066 zł,173,10 971 zł
NZ1M,B,"Wydział Wychowania Fizycznego, Sportu i Rehabilitacji","Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu",24,3,13%,1 597 536 zł,148,10 794 zł
NZ1M,A,I Wydział Lekarski,Warszawski Uniwersytet Medyczny,89,14,16%,6 263 806 zł,"582,08",10 761 zł
NZ1M,A,Wydział Lekarski w Katowicach,Śląski Uniwersytet Medyczny w Katowicach,27,6,22%,2 989 369 zł,"292,13",10 233 zł
NZ1M,A,"Wydział Lekarski z Oddziałem Nauczania w Języku Angielskim",Pomorski Uniwersytet Medyczny w Szczecinie,17,4,24%,2 037 051 zł,"211,08",9 651 zł
NZ1M,A,Wydział Lekarski CM,Uniwersytet Mikołaja Kopernika w Toruniu,24,3,13%,2 016 216 zł,"234,63",8 593 zł
NZ1M,B,Wydział Wychowania Fizycznego,"Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach",4,1,25%,416 000 zł,"51,66",8 053 zł
NZ1M,A,Wydział Lekarski,Gdański Uniwersytet Medyczny,57,8,14%,4 134 775 zł,"524,75",7 880 zł
NZ1M,B,Wydział Rehabilitacji,"Akademia Wychowania Fizycznego Józefa Piłsudskiego wWarszawie",7,1,14%,267 810 zł,"38,75",6 911 zł
NZ1M,A,"Wydział Nauk o Zdrowiu z Oddziałem Pielęgniarstwa i Instytutem Medycyny Morskiej i Tropikalnej",Gdański Uniwersytet Medyczny,19,1,5%,1 046 100 zł,"158,28",6 609 zł
NZ1M,A,"Wydział Lekarsko-Biotechnologiczny i Medycyny Laboratoryjnej",Pomorski Uniwersytet Medyczny w Szczecinie,13,3,23%,389 090 zł,"58,88",6 608 zł
NZ1M,A,"Wydział Farmaceutyczny z Oddziałem Analityki Medycznej","Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu",19,3,16%,754 056 zł,120,6 284 zł
NZ1M,A,Wydział Lekarski I,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu",30,5,17%,2 311 414 zł,"374,94",6 165 zł
NZ1M,B,Wydział Nauk o Zdrowiu,Uniwersytet Jana Kochanowskiego w Kielcach,6,1,17%,553 379 zł,"92,5",5 982 zł
NZ1M,B,"",Centrum Medyczne Kształcenia Podyplomowego,13,1,8%,995 480 zł,170,5 856 zł
NZ1M,B,Wydział Kultury Fizycznej i Promocji Zdrowia,Uniwersytet Szczeciński,5,1,20%,242 980 zł,42,5 785 zł
NZ1M,A,Wydział Lekarski II,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu",36,4,11%,2 589 391 zł,"467,9",5 534 zł
NZ1M,A,"Wydział Farmaceutyczny z Oddziałem Analityki Medycznej",Uniwersytet Medyczny w Lublinie,12,2,17%,866 700 zł,"160,8",5 390 zł
NZ1M,B,Wydział Lekarski,"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu",34,2,6%,1 517 296 zł,302,5 024 zł
NZ1M,A,Wydział Farmaceutyczny,Uniwersytet Medyczny w Łodzi,15,1,7%,439 300 zł,91,4 827 zł
NZ1M,A,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Śląski Uniwersytet Medyczny w Katowicach,6,2,33%,668 249 zł,"191,5",3 490 zł
NZ1M,A,Wydział Nauk o Zdrowiu,"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu",4,2,50%,298 800 zł,86,3 474 zł
NZ1M,B,Wydział Wojskowo-Lekarski,Uniwersytet Medyczny w Łodzi,22,1,5%,706 807 zł,226,3 127 zł
NZ1M,A,Wydział Lekarski Kształcenia Podyplomowego,"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu",24,1,4%,940 477 zł,316,2 976 zł
NZ1M,B,Wydział Nauk Medycznych,Uniwersytet Warmińsko-Mazurski w Olsztynie,17,1,6%,490 800 zł,"184,5",2 660 zł
NZ1M,C,Wydział Wychowania Fizycznego i Sportu,"Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie",6,1,17%,149 220 zł,58,2 573 zł
NZ1M,A,"Wydział Lekarski z Oddziałem Stomatologii i Oddziałem Nauczania w Języku Angielskim",Uniwersytet Medyczny w Białymstoku,14,3,21%,783 340 zł,373,2 100 zł
NZ1M,B,Wydział Fizjoterapii,Akademia Wychowania Fizycznego we Wrocławiu,3,1,33%,99 732 zł,53,1 882 zł
NZ1M,B,Wydział Lekarsko-Dentystyczny,Warszawski Uniwersytet Medyczny,10,1,10%,90 600 zł,"72,25",1 254 zł
NZ1M,A,II Wydział Lekarski z Oddziałem Anglojęzycznym,Uniwersytet Medyczny w Lublinie,18,1,6%,129 000 zł,427,302 zł
NZ1M,A,"Wydział Nauki o Zdrowiu z Oddziałem Pielęgniarstwa, Oddziałem Zdrowia Publicznego, Oddziałem Dietetyki",Warszawski Uniwersytet Medyczny,11,0,0%,0 zł,114,0 zł
NZ1M,C,"Wydział Kultury Fizycznej, Zdrowia i Turystyki",Uniwersytet Kazimierza Wielkiego,5,0,0%,0 zł,51,0 zł
NZ1M,A,Wydział Nauk o Zdrowiu,Pomorski Uniwersytet Medyczny w Szczecinie,14,0,0%,0 zł,"101,5",0 zł
NZ1M,B,I Wydział Lekarski z Oddziałem Stomatologicznym,Uniwersytet Medyczny w Lublinie,15,0,0%,0 zł,383,0 zł
NZ1M,B,Wydział Nauk o Zdrowiu,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu",13,0,0%,0 zł,"195,5",0 zł
NZ1M,A,"Wydział Lekarski z Oddziałem Lekarsko-Dentystycznym w Zabrzu",Śląski Uniwersytet Medyczny w Katowicach,7,0,0%,0 zł,"282,75",0 zł
NZ1M,B,Wydział Wychowania Fizycznego,Akademia Wychowania Fizycznego we Wrocławiu,11,0,0%,0 zł,63,0 zł
NZ1M,B,Wydział Medyczny,Uniwersytet Rzeszowski,8,0,0%,0 zł,126,0 zł
NZ1M,B,"II Wydział Lekarski z Oddziałem Nauczania w Języku Angielskim, Oddziałem Fizjoterapii",Warszawski Uniwersytet Medyczny,7,0,0%,0 zł,"182,25",0 zł
NZ1M,B,Wydział Fizjoterapii,"Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach",6,0,0%,0 zł,36,0 zł
NZ1M,B,Wydział Zdrowia Publicznego,Śląski Uniwersytet Medyczny w Katowicach,6,0,0%,0 zł,60,0 zł
NZ1M,B,Wydział Pielęgniarstwa i Nauk o Zdrowiu,Uniwersytet Medyczny w Lublinie,3,0,0%,0 zł,"133,5",0 zł
NZ1M,B,Wydział Turystyki i Rekreacji,"Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku",1,0,0%,0 zł,"35,5",0 zł
NZ1M,B,"Zamiejscowy Wydział Kultury Fizycznej w Gorzowie Wielkopolskim","Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu",2,0,0%,0 zł,29,0 zł
NZ1M,C,Wydział Wychowania Fizycznego i Fizjoterapii,Politechnika Opolska,4,0,0%,0 zł,70,0 zł
NZ1M,B,Wydział Nauk o Zdrowiu CM,Uniwersytet Mikołaja Kopernika w Toruniu,4,0,0%,0 zł,"189,09",0 zł
NZ1M,C,"","Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej",2,0,0%,0 zł,37,0 zł
NZ1M,B,Wydział Nauk o Zdrowiu,Śląski Uniwersytet Medyczny w Katowicach,2,0,0%,0 zł,"93,5",0 zł
NZ1M,B,Wydział Lekarsko-Stomatologiczny,"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu",1,0,0%,0 zł,77,0 zł
NZ1M,B,Wydział Turystyki i Rekreacji,"Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu",2,0,0%,0 zł,25,0 zł
NZ1M,C,Wydział Turystyki i Rekreacji,"Akademia Wychowania Fizycznego Józefa Piłsudskiego wWarszawie",2,0,0%,0 zł,37,0 zł
NZ1M,B,Wydział Nauk o Sporcie,Akademia Wychowania Fizycznego we Wrocławiu,2,0,0%,0 zł,34,0 zł
NZ1M,A,Wydział Nauk o Zdrowiu,Uniwersytet Medyczny w Białymstoku,2,0,0%,0 zł,"121,18",0 zł
NZ1M,B,Wydział Lekarsko-Stomatologiczny,Pomorski Uniwersytet Medyczny w Szczecinie,1,0,0%,0 zł,87,0 zł
NZ3M,B,"","Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher",4,2,50%,2 440 030 zł,"32,21",75 754 zł
NZ3M,A+,"",Instytut Fizjologii i Patologii Słuchu,7,2,29%,674 500 zł,16,42 156 zł
NZ3M,B,"",Instytut Matki i Dziecka,18,4,22%,2 040 820 zł,"49,1",41 565 zł
NZ3M,A,"","Instytut Medycyny Pracy im. prof. dr. med. Jerzego Nofera",19,4,21%,2 512 910 zł,"103,26",24 336 zł
NZ3M,A,"",Instytut Medycyny Wsi im. Witolda Chodźki,20,4,20%,1 263 280 zł,"52,58",24 026 zł
NZ3M,B,"",Narodowy Instytut Leków,18,5,28%,2 423 840 zł,"111,15",21 807 zł
NZ3M,B,"",Wojskowy Instytut Medycyny Lotniczej,6,1,17%,661 600 zł,34,19 459 zł
NZ3M,A,"",Instytut Psychiatrii i Neurologii,25,4,16%,1 094 000 zł,"80,98",13 510 zł
NZ3M,A,"","Centrum Onkologii - Instytut im. Marii Skłodowskiej-Curie",33,8,24%,4 291 129 zł,336,12 771 zł
NZ3M,A+,"","Instytut ""Pomnik - Centrum Zdrowia Dziecka""",8,2,25%,958 250 zł,"88,15",10 871 zł
NZ3M,A,"","Instytut ""Centrum Zdrowia Matki Polki""",19,1,5%,180 200 zł,"44,54",4 046 zł
NZ3M,B,"","Narodowy Instytut Zdrowia Publicznego - Państwowy Zakład Higieny",15,1,7%,98 800 zł,60,1 647 zł
NZ3M,B,"",Instytut Biotechnologii i Antybiotyków,7,1,14%,150 000 zł,"92,25",1 626 zł
NZ3M,A,"",Wojskowy Instytut Medyczny,7,1,14%,136 310 zł,86,1 585 zł
NZ3M,B,"","Wojskowy Instytut Higieny i Epidemiologii im. gen. Karola Kaczkowskiego",7,0,0%,0 zł,"48,5",0 zł
NZ3M,B,"",Instytut Hematologii i Transfuzjologii,1,0,0%,0 zł,40,0 zł
NZ3M,B,"",Instytut Gruźlicy i Chorób Płuc,10,0,0%,0 zł,"69,2",0 zł
NZ3M,B,"",Instytut Medycyny Pracy i Zdrowia Środowiskowego,3,0,0%,0 zł,"40,92",0 zł
NZ3M,B,"",Instytut Sportu,2,0,0%,0 zł,"44,5",0 zł
NZ1R,A,Wydział Hodowli i Biologii Zwierząt,Uniwersytet Przyrodniczy w Poznaniu,16,9,56%,5 532 244 zł,114,48 528 zł
NZ1R,A,Wydział Nauk o Środowisku,Uniwersytet Warmińsko-Mazurski w Olsztynie,28,8,29%,2 406 008 zł,75,32 080 zł
NZ1R,A,Wydział Nauk o Żywności i Żywieniu,Uniwersytet Przyrodniczy w Poznaniu,13,6,46%,2 233 110 zł,131,17 047 zł
NZ1R,A,Wydział Technologii Drewna,Uniwersytet Przyrodniczy w Poznaniu,7,2,29%,1 077 220 zł,"69,5",15 500 zł
NZ1R,A,Wydział Medycyny Weterynaryjnej,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,18,4,22%,2 511 326 zł,168,14 948 zł
NZ1R,A,Wydział Nauk o Żywności,Uniwersytet Przyrodniczy we Wrocławiu,23,5,22%,1 602 217 zł,"113,6",14 104 zł
NZ1R,B,Wydział Hodowli i Biologii Zwierząt,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,11,4,36%,1 191 395 zł,90,13 238 zł
NZ1R,B,"Wydział Ogrodnictwa, Biotechnologii i Architektury Krajobrazu",Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,18,4,22%,1 428 190 zł,116,12 312 zł
NZ1R,A,Wydział Rolnictwa i Biologii,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,14,4,29%,1 275 480 zł,"105,25",12 119 zł
NZ1R,B,Wydział Biologiczno-Rolniczy,Uniwersytet Rzeszowski,13,3,23%,1 272 385 zł,117,10 875 zł
NZ1R,B,Wydział Leśny,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,19,3,16%,911 206 zł,86,10 595 zł
NZ1R,A,Wydział Technologii Żywności,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,19,4,21%,1 022 948 zł,104,9 836 zł
NZ1R,A,Wydział Biotechnologii i Nauk o Żywności,Politechnika Łódzka,30,3,10%,959 999 zł,103,9 320 zł
NZ1R,A,Wydział Medycyny Weterynaryjnej,Uniwersytet Warmińsko-Mazurski w Olsztynie,12,2,17%,598 950 zł,93,6 440 zł
NZ1R,B,Wydział Ogrodniczy,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,14,1,7%,689 580 zł,108,6 385 zł
NZ1R,A,Wydział Nauk o Żywności i Biotechnologii,Uniwersytet Przyrodniczy w Lublinie,8,2,25%,486 800 zł,81,6 010 zł
NZ1R,A,Wydział Nauk o Żywności,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,7,2,29%,406 262 zł,90,4 514 zł
NZ1R,B,Wydział Rolnictwa i Bioinżynierii,Uniwersytet Przyrodniczy w Poznaniu,4,1,25%,612 300 zł,147,4 165 zł
NZ1R,B,Wydział Melioracji i Inżynierii Środowiska,Uniwersytet Przyrodniczy w Poznaniu,8,1,13%,311 766 zł,77,4 049 zł
NZ1R,A,Wydział Nauk o Zwierzętach,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,13,2,15%,300 000 zł,75,4 000 zł
NZ1R,A,Wydział Medycyny Weterynaryjnej,Uniwersytet Przyrodniczy we Wrocławiu,15,1,7%,402 500 zł,122,3 299 zł
NZ1R,A,Wydział Biologii i Hodowli Zwierząt,Uniwersytet Przyrodniczy we Wrocławiu,18,1,6%,149 948 zł,81,1 851 zł
NZ1R,B,Wydział Kształtowania Środowiska i Rolnictwa,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",5,1,20%,149 300 zł,"102,25",1 460 zł
NZ1R,A,Wydział Nauki o Żywności,Uniwersytet Warmińsko-Mazurski w Olsztynie,14,1,7%,149 300 zł,104,1 436 zł
NZ1R,B,Wydział Inżynierii Produkcji,Uniwersytet Przyrodniczy w Lublinie,3,1,33%,200 500 zł,143,1 402 zł
NZ1R,B,Wydział Rolniczo-Ekonomiczny,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,14,2,14%,174 582 zł,161,1 084 zł
NZ1R,B,Wydział Rolnictwa i Biotechnologii,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",9,1,11%,99 957 zł,100,1 000 zł
NZ1R,B,Wydział Przyrodniczo-Technologiczny,Uniwersytet Przyrodniczy we Wrocławiu,17,2,12%,181 353 zł,"197,55",918 zł
NZ1R,B,Wydział Inżynierii Środowiska i Geodezji,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,11,1,9%,97 862 zł,107,915 zł
NZ1R,B,Wydział Hodowli i Biologii Zwierząt,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",4,0,0%,0 zł,83,0 zł
NZ1R,A,Wydział Bioinżynierii Zwierząt,Uniwersytet Warmińsko-Mazurski w Olsztynie,2,0,0%,0 zł,74,0 zł
