GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu","Przyznana kwota","Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1EK,B,Wydział Zarządzania,Politechnika Białostocka,11,0,0%,0 zł,116,0 zł
HS1EK,A,Wydział Zarządzania,Uniwersytet Warszawski,8,0,0%,0 zł,46,0 zł
HS1EK,B,Wydział Finansów i Zarządzania,Wyższa Szkoła Bankowa we Wrocławiu,9,0,0%,0 zł,135,0 zł
HS1EK,B,Wydział Ekonomii i Zarządzania,Uniwersytet Zielonogórski,13,0,0%,0 zł,68,0 zł
HS1EK,A,Wydział Zarządzania i Finansów,Wyższa Szkoła Finansów i Zarządzania w Warszawie,13,0,0%,0 zł,38,0 zł
HS1EK,B,Wydział Inżynierii Zarządzania,Politechnika Poznańska,7,0,0%,0 zł,106,0 zł
HS1EK,B,Wydział Ekonomii,Uniwersytet Rzeszowski,5,0,0%,0 zł,45,0 zł
HS1EK,B,Wydział Przedsiębiorczości i Towaroznawstwa,Akademia Morska w Gdyni,9,0,0%,0 zł,101,0 zł
HS1EK,B,Wydział Ekonomiczny,"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu",7,0,0%,0 zł,49,0 zł
HS1EK,B,Wydział Ekonomiczny,Uniwersytet Opolski,6,0,0%,0 zł,47,0 zł
HS1EK,B,Wydział Zarządzania,Politechnika Rzeszowska im. Ignacego Łukasiewicza,5,0,0%,0 zł,126,0 zł
HS1EK,B,Wydział Finansów i Bankowości,Wyższa Szkoła Bankowa w Poznaniu,6,0,0%,0 zł,85,0 zł
HS1EK,B,Wydział Ekonomii i Zarządzania,Politechnika Opolska,3,0,0%,0 zł,"55,5",0 zł
HS1EK,B,"",Wyższa Szkoła Bankowa w Toruniu,4,0,0%,0 zł,64,0 zł
HS1EK,B,Wydział Zarządzania i Logistyki,Wyższa Szkoła Logistyki w Poznaniu,1,0,0%,0 zł,24,0 zł
HS1EK,B,Wydział Zarządzania,Politechnika Lubelska,2,0,0%,0 zł,60,0 zł
