GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu",Przyznana kwota,"Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1SP,B,Wydział Nauk Humanistycznych i Społecznych,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,1,0,0%,0 zł,17,"0,00 zł"
HS1SP,B,Wydział Nauk Pedagogicznych,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,2,0,0%,0 zł,30,"0,00 zł"
HS1SP,B,Wydział Nauk Społecznych,Akademia im. Jana Długosza w Częstochowie,6,0,0%,0 zł,45,"0,00 zł"
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Papieski Jana Pawła II w Krakowie,2,0,0%,0 zł,42,"0,00 zł"
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Warmińsko-Mazurski w Olsztynie,8,0,0%,0 zł,130,"0,00 zł"
HS1SP,B,Wydział Pedagogiczny,Akademia im. Jana Długosza w Częstochowie,5,0,0%,0 zł,"73,2","0,00 zł"
HS1SP,B,Wydział Pedagogiczny,Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie,3,0,0%,0 zł,199,"0,00 zł"
HS1SP,B,Wydział Pedagogiczny,Uniwersytet Warszawski,8,0,0%,0 zł,50,"0,00 zł"
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,9,0,0%,0 zł,116,"0,00 zł"
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet Śląski w Katowicach,1,0,0%,0 zł,117,"0,00 zł"
HS1SP,B,"Wydział Pedagogiki, Socjologii i Nauk o Zdrowiu",Uniwersytet Zielonogórski,3,0,0%,0 zł,101,"0,00 zł"
HS1SP,A,Wydział Psychologii,Wyższa Szkoła Finansów i Zarządzania w Warszawie,2,0,0%,0 zł,29,"0,00 zł"
HS1SP,B,Wydział Stosowanych Nauk Społecznych i Resocjalizacji,Uniwersytet Warszawski,9,0,0%,0 zł,86,"0,00 zł"
HS1SP,A,Wydział Studiów Edukacyjnych,Uniwersytet im. Adama Mickiewicza w Poznaniu,3,0,0%,0 zł,"117,6","0,00 zł"
HS1SP,C,Wydział Studiów Społecznych,Wyższa Szkoła Bezpieczeństwa w Poznaniu,1,0,0%,0 zł,37,"0,00 zł"
HS1SP,A,Wydział Zarządzania i Dowodzenia,Akademia Obrony Narodowej,2,0,0%,0 zł,110,"0,00 zł"
HS1SP,B,Wydział Zarządzania i Komunikacji Społecznej,Krakowska Akademia im. Andrzeja Frycza Modrzewskiego,1,0,0%,0 zł,50,"0,00 zł"
HS1SP,B,Wydział Administracji i Nauk Społecznych,Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie,3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,A,Wydział Nauk Pedagogicznych,Uniwersytet Mikołaja Kopernika w Toruniu,7,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,A,Wydział Politologii i Studiów Międzynarodowych,Uniwersytet Mikołaja Kopernika w Toruniu,10,1,10%,64 786 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,B,Wydział Zamiejscowy Nauk o Społeczeństwie w Stalowej Woli,Katolicki Uniwersytet Lubelski Jana Pawła II,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,B,Wydział Zarządzania i Administracji,Uniwersytet Jana Kochanowskiego w Kielcach,9,1,11%,318 760 zł,BRAK DANYCH,BRAK DANYCH
HS2EK,B,"",Instytut Nauk Ekonomicznych PAN,13,4,31%,473 290 zł,27,"17 529,26 zł"
HS2EK,A,"",Instytut Rozwoju Wsi i Rolnictwa PAN,12,0,0%,0 zł,"26,25","0,00 zł"
HS2FB,A+,"",Instytut Badań Literackich PAN,12,1,8%,453 000 zł,105,"4 314,29 zł"
HS2FB,A,"",Instytut Języka Polskiego PAN,4,0,0%,0 zł,80,"0,00 zł"
HS2FB,A,"",Instytut Slawistyki PAN,11,0,0%,0 zł,"66,6","0,00 zł"
HS2HS,A,"",Instytut Archeologii i Etnologii PAN,32,12,38%,5 168 773 zł,"129,1","40 036,97 zł"
HS2HS,A+,"",Instytut Historii im. Tadeusza Manteuffla PAN,18,6,33%,1 276 160 zł,"117,25","10 884,09 zł"
HS2HS,A,"",Instytut Historii Nauki im. Ludwika i Aleksandra Birkenmajerów PAN,6,2,33%,253 910 zł,32,"7 934,69 zł"
HS2HS,B,"",Instytut Kultur Śródziemnomorskich i Orientalnych PAN,7,1,14%,89 380 zł,"26,5","3 372,83 zł"
HS2HS,A+,"",Instytut Sztuki PAN,12,2,17%,276 740 zł,87,"3 180,92 zł"
HS2PR,A,"",Instytut Nauk Prawnych PAN,17,2,12%,147 742 zł,68,"2 172,68 zł"
HS2SP,A,"",Instytut Psychologii PAN,12,5,42%,2 504 051 zł,34,"73 648,56 zł"
HS2SP,A+,"",Instytut Filozofii i Socjologii PAN,32,7,22%,2 858 986 zł,"80,25","35 625,99 zł"
HS2SP,A,"",Instytut Studiów Politycznych PAN,22,4,18%,731 054 zł,"72,5","10 083,50 zł"
HS3EK,B,"","Instytut Badań Rynku, Konsumpcji i Koniunktur",8,2,25%,334 564 zł,30,"11 152,13 zł"
HS3EK,A,"",Instytut Pracy i Spraw Socjalnych,8,1,13%,199 650 zł,44,"4 537,50 zł"
HS3EK,B,"","Instytut Ekonomiki Rolnictwa i Gospodarki Żywnościowej - Państwowy Instytut Badawczy",1,0,0%,0 zł,"86,15","0,00 zł"
HS3HS,A,"",Instytut Zachodni - Instytut Naukowo-Badawczy im. Zygmunta Wojciechowskiego,6,1,17%,1 145 746 zł,22,"52 079,36 zł"
HS3HS,B,"",Instytut Europy Środkowo-Wschodniej,5,0,0%,0 zł,10,"0,00 zł"
HS3HS,B,"",Państwowy Instytut Naukowy - Instytut Śląski w Opolu,3,0,0%,0 zł,17,"0,00 zł"
HS3SP,B,"",Instytut Badań Edukacyjnych,12,4,33%,708 213 zł,35,"20 234,66 zł"
NZ1B,A+,Wydział Biotechnologii,Uniwersytet Wrocławski,47,19,40%,10 825 833 zł,65,"166 551,28 zł"
NZ1B,A,"Międzyuczelniany Wydział Biotechnologii Uniwersytetu Gdańskiego i Gdańskiego Uniwersytetu Medycznego","Uniwersytet Gdański, Gdański Uniwersytet Medyczny",33,10,30%,8 590 764 zł,"74,4","115 467,25 zł"
NZ1B,A,Wydział Biologii,Uniwersytet Warszawski,83,27,33%,18 351 728 zł,208,"88 229,46 zł"
NZ1B,A+,"Wydział Biochemii, Biofizyki i Biotechnologii",Uniwersytet Jagielloński,75,18,24%,9 971 435 zł,"167,69","59 463,50 zł"
NZ1B,A,Wydział Biologii,Uniwersytet im. Adama Mickiewicza w Poznaniu,88,32,36%,11 930 574 zł,"206,17","57 867,65 zł"
NZ1B,A,Wydział Biologii i Nauk o Ziemi,Uniwersytet Jagielloński,75,22,29%,11 020 600 zł,"258,23","42 677,46 zł"
NZ1B,A,Wydział Biologiczno-Chemiczny,Uniwersytet w Białymstoku,47,7,15%,3 458 800 zł,"112,5","30 744,89 zł"
NZ1B,B,Wydział Nauk Przyrodniczych,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,7,2,29%,1 253 237 zł,45,"27 849,71 zł"
NZ1B,A,Wydział Biologii i Biotechnologii,Uniwersytet Warmińsko-Mazurski w Olsztynie,24,3,13%,2 143 892 zł,78,"27 485,79 zł"
NZ1B,A,Wydział Biologii,Uniwersytet Gdański,45,8,18%,3 221 950 zł,"138,9","23 196,18 zł"
NZ1B,A,Wydział Nauk Biologicznych,Uniwersytet Wrocławski,28,7,25%,2 769 420 zł,132,"20 980,45 zł"
NZ1B,A,Wydział Biologii i Ochrony Środowiska,Uniwersytet Śląski w Katowicach,26,6,23%,2 534 711 zł,"129,5","19 573,06 zł"
NZ1B,A,Wydział Biologii i Ochrony Środowiska,Uniwersytet Łódzki,63,10,16%,3 722 931 zł,"205,75","18 094,44 zł"
NZ1B,B,Wydział Biologii i Biotechnologii,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,24,6,25%,2 101 087 zł,125,"16 808,70 zł"
NZ1B,B,Wydział Biotechnologii i Nauk o Środowisku,Katolicki Uniwersytet Lubelski Jana Pawła II,14,2,14%,683 536 zł,53,"12 896,91 zł"
NZ1B,A,"Pozawydziałowy Zamiejscowy Instytut Biotechnologii Stosowanej i Nauk Podstawowych",Uniwersytet Rzeszowski,8,1,13%,149 940 zł,29,"5 170,34 zł"
NZ1B,C,Wydział Przyrodniczo-Techniczny,Uniwersytet Opolski,9,1,11%,99 984 zł,82,"1 219,32 zł"
NZ1B,B,Wydział Biologii i Nauk o Środowisku,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,2,0,0%,0 zł,34,"0,00 zł"
NZ1B,B,Wydział Biologii,Uniwersytet Szczeciński,7,0,0%,0 zł,66,"0,00 zł"
NZ1B,B,Wydział Nauk Biologicznych,Uniwersytet Zielonogórski,1,0,0%,0 zł,39,"0,00 zł"
NZ1B,B,Wydział Biologii i Ochrony Środowiska,Uniwersytet Mikołaja Kopernika w Toruniu,37,4,11%,1 267 824 zł,BRAK DANYCH,BRAK DANYCH
NZ1B,C,Wydział Geograficzno-Biologiczny,Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie,6,1,17%,387 200 zł,BRAK DANYCH,BRAK DANYCH
NZ1B,C,Wydział Matematyczno-Przyrodniczy,Akademia Pomorska w Słupsku,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
NZ1M,A,Wydział Farmaceutyczny CM,Uniwersytet Jagielloński,47,13,28%,7 055 675 zł,147,"47 997,79 zł"
NZ1M,A,Wydział Lekarski,Uniwersytet Medyczny w Łodzi,60,15,25%,10 241 336 zł,"341,08","30 026,20 zł"
NZ1M,A,Wydział Farmaceutyczny,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,49,7,14%,3 100 555 zł,"134,8","23 001,15 zł"
NZ1M,A+,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Gdański Uniwersytet Medyczny,30,8,27%,2 781 642 zł,"124,5","22 342,51 zł"
NZ1M,A,"Wydział Nauk o Zdrowiu z Oddziałem Pielęgniarstwa i Instytutem Medycyny Morskiej i Tropikalnej",Gdański Uniwersytet Medyczny,16,3,19%,3 059 244 zł,"147,65","20 719,57 zł"
NZ1M,A,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Warszawski Uniwersytet Medyczny,36,6,17%,2 999 745 zł,"151,75","19 767,68 zł"
NZ1M,A,Wydział Farmaceutyczny CM,Uniwersytet Mikołaja Kopernika w Toruniu,14,2,14%,2 275 875 zł,"127,33","17 873,83 zł"
NZ1M,A,Wydział Nauk o Zdrowiu,Uniwersytet Medyczny w Łodzi,24,7,29%,2 264 809 zł,134,"16 901,56 zł"
NZ1M,A,Wydział Lekarski CM,Uniwersytet Jagielloński,102,17,17%,11 169 788 zł,"766,07","14 580,64 zł"
NZ1M,A,Wydział Lekarski II,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,54,7,13%,5 170 722 zł,"371,84","13 905,77 zł"
NZ1M,A,Wydział Nauk o Zdrowiu,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,7,1,14%,1 491 759 zł,"114,63","13 013,69 zł"
NZ1M,A,Wydział Lekarski z Oddziałem Nauczania w Języku Angielskim,Pomorski Uniwersytet Medyczny w Szczecinie,12,2,17%,2 517 284 zł,"207,2","12 149,05 zł"
NZ1M,A,Wydział Nauk Biomedycznych i Kształcenia Podyplomowego,Uniwersytet Medyczny w Łodzi,25,3,12%,666 720 zł,"60,5","11 020,17 zł"
NZ1M,A,Wydział Farmaceutyczny,Uniwersytet Medyczny w Łodzi,18,2,11%,1 170 070 zł,107,"10 935,23 zł"
NZ1M,A,"Wydział Lekarski z Oddziałem Stomatologii i Oddziałem Nauczania w Języku Angielskim",Uniwersytet Medyczny w Białymstoku,23,5,22%,3 564 729 zł,"387,47","9 200,01 zł"
NZ1M,A,I Wydział Lekarski,Warszawski Uniwersytet Medyczny,74,9,12%,5 769 916 zł,"689,82","8 364,38 zł"
NZ1M,A,Wydział Farmaceutyczny z Oddziałem Analityki Medycznej,Uniwersytet Medyczny w Lublinie,19,3,16%,1 202 956 zł,171,"7 034,83 zł"
NZ1M,A,II Wydział Lekarski z Oddziałem Anglojęzycznym,Uniwersytet Medyczny w Lublinie,10,4,40%,3 030 645 zł,"450,3","6 730,28 zł"
NZ1M,C,Wydział Wychowania Fizycznego i Sportu,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,4,2,50%,299 904 zł,46,"6 519,65 zł"
NZ1M,A,Wydział Farmaceutyczny z Oddziałem Analityki Medycznej,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,15,2,13%,1 172 330 zł,"191,25","6 129,83 zł"
NZ1M,B,Wydział Nauk o Zdrowiu,Uniwersytet Medyczny w Lublinie,2,1,50%,752 800 zł,"135,75","5 545,49 zł"
NZ1M,A,"Wydział Lekarsko-Biotechnologiczny i Medycyny Laboratoryjnej",Pomorski Uniwersytet Medyczny w Szczecinie,8,1,13%,269 867 zł,"58,13","4 642,47 zł"
NZ1M,B,Wydział Wojskowo-Lekarski,Uniwersytet Medyczny w Łodzi,19,1,5%,878 612 zł,194,"4 528,93 zł"
NZ1M,B,"",Centrum Medyczne Kształcenia Podyplomowego,6,2,33%,694 120 zł,"166,63","4 165,64 zł"
NZ1M,A,Wydział Nauk o Zdrowiu,Pomorski Uniwersytet Medyczny w Szczecinie,16,1,6%,466 680 zł,"117,51","3 971,41 zł"
NZ1M,A,Wydział Lekarski CM,Uniwersytet Mikołaja Kopernika w Toruniu,15,1,7%,946 600 zł,"241,26","3 923,57 zł"
NZ1M,A,Wydział Lekarski,Gdański Uniwersytet Medyczny,49,4,8%,1 774 590 zł,"470,35","3 772,91 zł"
NZ1M,B,Wydział Rehabilitacji Ruchowej,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,4,1,25%,149 902 zł,41,"3 656,15 zł"
NZ1M,A+,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Uniwersytet Medyczny w Białymstoku,19,2,11%,299 760 zł,"119,5","2 508,45 zł"
NZ1M,A,Wydział Lekarski I,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,29,2,7%,856 204 zł,"343,81","2 490,34 zł"
NZ1M,B,Wydział Nauk o Zdrowiu CM,Uniwersytet Mikołaja Kopernika w Toruniu,5,1,20%,471 378 zł,"190,09","2 479,76 zł"
NZ1M,A,Wydział Nauk o Zdrowiu CM,Uniwersytet Jagielloński,12,1,8%,294 238 zł,"151,77","1 938,71 zł"
NZ1M,A,"Wydział Lekarski z Oddziałem Lekarsko-Dentystycznym w Zabrzu",Śląski Uniwersytet Medyczny w Katowicach,16,1,6%,572 828 zł,299,"1 915,81 zł"
NZ1M,B,"",Centrum Medyczne Kształcenia Podyplomowego,7,1,14%,149 952 zł,"166,63","899,91 zł"
NZ1M,A,Wydział Lekarski Kształcenia Podyplomowego,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,18,1,6%,150 000 zł,"328,38","456,79 zł"
NZ1M,B,Wydział Lekarski,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,24,1,4%,150 000 zł,"355,78","421,61 zł"
NZ1M,B,"",Wyższa Szkoła Gospodarki w Bydgoszczy,1,0,0%,0 zł,182,"0,00 zł"
NZ1M,B,I Wydział Lekarski z Oddziałem Stomatologicznym,Uniwersytet Medyczny w Lublinie,5,0,0%,0 zł,"380,25","0,00 zł"
NZ1M,B,"II Wydział Lekarski z Oddziałem Nauczania w Języku Angielskim oraz Oddziałem Fizjoterapii",Warszawski Uniwersytet Medyczny,5,0,0%,0 zł,"191,73","0,00 zł"
NZ1M,B,Wydział Fizjoterapii,Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach,5,0,0%,0 zł,28,"0,00 zł"
NZ1M,B,Wydział Fizjoterapii,Akademia Wychowania Fizycznego we Wrocławiu,3,0,0%,0 zł,54,"0,00 zł"
NZ1M,B,Wydział Kultury Fizycznej i Promocji Zdrowia,Uniwersytet Szczeciński,2,0,0%,0 zł,49,"0,00 zł"
NZ1M,B,Wydział Lekarsko-Dentystyczny,Warszawski Uniwersytet Medyczny,8,0,0%,0 zł,"83,7","0,00 zł"
NZ1M,B,Wydział Lekarsko-Stomatologiczny,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,3,0,0%,0 zł,108,"0,00 zł"
NZ1M,B,Wydział Medyczny,Uniwersytet Rzeszowski,2,0,0%,0 zł,145,"0,00 zł"
NZ1M,B,Wydział Nauk Medycznych,Uniwersytet Warmińsko-Mazurski w Olsztynie,8,0,0%,0 zł,"186,5","0,00 zł"
NZ1M,B,Wydział Nauk o Zdrowiu,Śląski Uniwersytet Medyczny w Katowicach,3,0,0%,0 zł,"96,25","0,00 zł"
NZ1M,B,Wydział Nauk o Zdrowiu,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,15,0,0%,0 zł,"182,52","0,00 zł"
NZ1M,A,Wydział Nauk o Zdrowiu,Uniwersytet Medyczny w Białymstoku,5,0,0%,0 zł,"116,68","0,00 zł"
NZ1M,A,Wydział Nauki o Zdrowiu,Warszawski Uniwersytet Medyczny,12,0,0%,0 zł,133,"0,00 zł"
NZ1M,B,Wydział Rehabilitacji,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,4,0,0%,0 zł,"42,75","0,00 zł"
NZ1M,B,Wydział Turystyki i Rekreacji,Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku,4,0,0%,0 zł,29,"0,00 zł"
NZ1M,C,Wydział Turystyki i Rekreacji,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,1,0,0%,0 zł,32,"0,00 zł"
NZ1M,B,Wydział Wychowania Fizycznego,Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach,3,0,0%,0 zł,"62,66","0,00 zł"
NZ1M,B,Wydział Wychowania Fizycznego,Akademia Wychowania Fizycznego we Wrocławiu,5,0,0%,0 zł,67,"0,00 zł"
NZ1M,B,"Wydział Wychowania Fizycznego, Sportu i Rehabilitacji",Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu,4,0,0%,0 zł,"145,08","0,00 zł"
NZ1M,B,Wydział Zdrowia Publicznego,Śląski Uniwersytet Medyczny w Katowicach,5,0,0%,0 zł,61,"0,00 zł"
NZ1M,A,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Śląski Uniwersytet Medyczny w Katowicach,9,2,22%,794 745 zł,BRAK DANYCH,BRAK DANYCH
NZ1M,B,Wydział Nauk o Zdrowiu,Uniwersytet Jana Kochanowskiego w Kielcach,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
NZ1M,B,Wydział Pielęgniarstwa i Nauk o Zdrowiu,Uniwersytet Medyczny w Lublinie,3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
NZ1M,C,Wydział Wychowania Fizycznego i Fizjoterapii,Politechnika Opolska,7,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
NZ1R,B,"Wydział Ogrodnictwa, Biotechnologii i Architektury Krajobrazu",Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,18,3,17%,5 643 827 zł,95,"59 408,71 zł"
NZ1R,A,Wydział Technologii Drewna,Uniwersytet Przyrodniczy w Poznaniu,14,2,14%,1 954 073 zł,69,"28 319,90 zł"
NZ1R,A,Wydział Nauk o Żywności i Żywieniu,Uniwersytet Przyrodniczy w Poznaniu,23,7,30%,3 642 512 zł,135,"26 981,57 zł"
NZ1R,A,Wydział Rolnictwa i Biologii,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,19,3,16%,2 636 770 zł,99,"26 634,04 zł"
NZ1R,B,Wydział Kształtowania Środowiska i Rolnictwa,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,7,1,14%,1 588 920 zł,"102,25","15 539,56 zł"
NZ1R,B,Wydział Technologii Drewna,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,1,1,100%,825 430 zł,58,"14 231,55 zł"
NZ1R,A,Wydział Technologii Żywności,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,26,4,15%,1 139 560 zł,97,"11 748,04 zł"
NZ1R,B,Wydział Leśny,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,7,3,43%,777 998 zł,95,"8 189,45 zł"
NZ1R,B,Wydział Nauk o Żywieniu Człowieka i Konsumpcji,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,5,1,20%,801 200 zł,99,"8 092,93 zł"
NZ1R,B,Wydział Hodowli i Biologii Zwierząt,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,19,2,11%,663 430 zł,87,"7 625,63 zł"
NZ1R,B,Wydział Biologiczno-Rolniczy,Uniwersytet Rzeszowski,13,2,15%,749 060 zł,107,"7 000,56 zł"
NZ1R,B,Wydział Biologii i Hodowli Zwierząt,Uniwersytet Przyrodniczy w Lublinie,17,2,12%,842 900 zł,131,"6 434,35 zł"
NZ1R,A,Wydział Nauki o Żywności,Uniwersytet Warmińsko-Mazurski w Olsztynie,7,2,29%,619 934 zł,99,"6 261,96 zł"
NZ1R,B,Wydział Przyrodniczo-Technologiczny,Uniwersytet Przyrodniczy we Wrocławiu,24,3,13%,1 208 100 zł,"196,05","6 162,20 zł"
NZ1R,A,Wydział Nauk o Żywności,Uniwersytet Przyrodniczy we Wrocławiu,15,1,7%,599 920 zł,"104,3","5 751,87 zł"
NZ1R,A,Wydział Medycyny Weterynaryjnej,Uniwersytet Warmińsko-Mazurski w Olsztynie,9,1,11%,531 838 zł,93,"5 718,69 zł"
NZ1R,A,Wydział Medycyny Weterynaryjnej,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,25,4,16%,854 074 zł,153,"5 582,18 zł"
NZ1R,A,Wydział Medycyny Weterynaryjnej,Uniwersytet Przyrodniczy we Wrocławiu,7,1,14%,733 700 zł,132,"5 558,33 zł"
NZ1R,B,Wydział Rolnictwa i Bioinżynierii,Uniwersytet Przyrodniczy w Poznaniu,10,1,10%,781 690 zł,141,"5 543,90 zł"
NZ1R,B,Wydział Nauk Technicznych,Uniwersytet Warmińsko-Mazurski w Olsztynie,7,2,29%,440 100 zł,94,"4 681,91 zł"
NZ1R,A,Wydział Biotechnologii i Nauk o Żywności,Politechnika Łódzka,23,3,13%,348 530 zł,"107,5","3 242,14 zł"
NZ1R,B,Wydział Medycyny Weterynaryjnej,Uniwersytet Przyrodniczy w Lublinie,23,1,4%,350 000 zł,121,"2 892,56 zł"
NZ1R,A,Wydział Nauk o Środowisku,Uniwersytet Warmińsko-Mazurski w Olsztynie,36,2,6%,198 160 zł,79,"2 508,35 zł"
NZ1R,A,Wydział Biologii i Hodowli Zwierząt,Uniwersytet Przyrodniczy we Wrocławiu,9,2,22%,149 800 zł,"84,38","1 775,30 zł"
NZ1R,B,Wydział Rolniczo-Ekonomiczny,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,13,1,8%,150 000 zł,149,"1 006,71 zł"
NZ1R,B,Wydział Agrobioinżynierii,Uniwersytet Przyrodniczy w Lublinie,3,0,0%,0 zł,127,"0,00 zł"
NZ1R,A,Wydział Bioinżynierii Zwierząt,Uniwersytet Warmińsko-Mazurski w Olsztynie,9,0,0%,0 zł,77,"0,00 zł"
NZ1R,B,Wydział Biotechnologii i Hodowli Zwierząt,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,17,0,0%,0 zł,"62,75","0,00 zł"
NZ1R,B,Wydział Hodowli i Biologii Zwierząt,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",1,0,0%,0 zł,81,"0,00 zł"
NZ1R,B,Wydział Inżynierii Produkcji i Energetyki,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,2,0,0%,0 zł,"58,8","0,00 zł"
NZ1R,B,Wydział Inżynierii Produkcji,Uniwersytet Przyrodniczy w Lublinie,4,0,0%,0 zł,134,"0,00 zł"
NZ1R,B,Wydział Inżynierii Środowiska i Geodezji,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,9,0,0%,0 zł,113,"0,00 zł"
NZ1R,A,Wydział Kształtowania Środowiska i Rolnictwa,Uniwersytet Warmińsko-Mazurski w Olsztynie,9,0,0%,0 zł,146,"0,00 zł"
NZ1R,B,Wydział Leśny,Uniwersytet Przyrodniczy w Poznaniu,2,0,0%,0 zł,"76,5","0,00 zł"
NZ1R,B,Wydział Melioracji i Inżynierii Środowiska,Uniwersytet Przyrodniczy w Poznaniu,11,0,0%,0 zł,78,"0,00 zł"
NZ1R,A,Wydział Nauk o Zwierzętach,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,10,0,0%,0 zł,85,"0,00 zł"
NZ1R,B,Wydział Nauk o Żywności i Rybactwa,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,13,0,0%,0 zł,82,"0,00 zł"
NZ1R,A,Wydział Nauk o Żywności,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,8,0,0%,0 zł,86,"0,00 zł"
NZ1R,B,Wydział Ogrodnictwa i Architektury Krajobrazu,Uniwersytet Przyrodniczy w Lublinie,3,0,0%,0 zł,105,"0,00 zł"
NZ1R,B,Wydział Ogrodnictwa i Architektury Krajobrazu,Uniwersytet Przyrodniczy w Poznaniu,4,0,0%,0 zł,90,"0,00 zł"
NZ1R,B,Wydział Przyrodniczy,Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach,5,0,0%,0 zł,137,"0,00 zł"
NZ1R,B,Zamiejscowy Wydział Leśny w Hajnówce,Politechnika Białostocka,1,0,0%,0 zł,13,"0,00 zł"
NZ1R,A,Wydział Hodowli i Biologii Zwierząt,Uniwersytet Przyrodniczy w Poznaniu,20,2,10%,197 680 zł,BRAK DANYCH,BRAK DANYCH
NZ1Z,B,Wydział Nauk o Ziemi i Kształtowania Środowiska,Uniwersytet Wrocławski,20,5,25%,2 573 713 zł,"112,25","22 928,40 zł"
NZ1Z,A,Wydział Nauk Geograficznych i Geologicznych,Uniwersytet im. Adama Mickiewicza w Poznaniu,50,12,24%,3 305 728 zł,"168,9","19 572,10 zł"
NZ1Z,A,"Wydział Geologii, Geofizyki i Ochrony Środowiska",Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,21,6,29%,3 185 351 zł,201,"15 847,52 zł"
NZ1Z,A,Wydział Nauk o Ziemi,Uniwersytet Śląski w Katowicach,21,7,33%,2 246 300 zł,"145,9","15 396,16 zł"
NZ1Z,B,Wydział Oceanografii i Geografii,Uniwersytet Gdański,26,5,19%,1 585 219 zł,"114,25","13 875,00 zł"
NZ1Z,B,Wydział Nauk Geograficznych,Uniwersytet Łódzki,7,2,29%,923 715 zł,"85,5","10 803,68 zł"
NZ1Z,A,Wydział Geologii,Uniwersytet Warszawski,6,2,33%,540 250 zł,91,"5 936,81 zł"
NZ1Z,B,Wydział Nauk o Ziemi,Uniwersytet Szczeciński,14,1,7%,361 420 zł,"73,4","4 923,98 zł"
NZ1Z,B,Wydział Geografii i Studiów Regionalnych,Uniwersytet Warszawski,13,2,15%,359 812 zł,89,"4 042,83 zł"
NZ1Z,B,Wydział Nauk o Ziemi i Gospodarki Przestrzennej,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,4,0,0%,0 zł,92,"0,00 zł"
