"GWO","kategoria","wydzial","jednostka.gl","zlozone","pozyskane","procent.sukcesu","kwota.calk","liczba.pracownikow","kwota.na.pracownika","dziedzina","szer.geog","dl.geog","adres","miasto"
"HS1EK","A","Wydział Zarządzania","Akademia Górniczo-Hutnicza im. Stanisława Staszica w 
Krakowie",15,1,0.0666666666666667,482320,121,3986.11570247934,"HS",50.0668858,19.9136192,"aleja Adama Mickiewicza 30, 30-059 Krak�w, Poland"," Krak�w"
"HS1EK","B","Wydział Informatyki i Komunikacji","Uniwersytet Ekonomiczny w Katowicach",11,3,0.272727272727273,242550,66,3675,"HS",50.2584208,19.0447436,"1 Maja 50, 40-287 Katowice, Poland"," Katowice"
"HS1EK","B","Wydział Ekonomiczno-Społeczny","Uniwersytet Przyrodniczy w Poznaniu",15,3,0.2,275620,81,3402.71604938272,"HS",52.4116097,16.9487054,"Ostr�w Tumski 17, Poznan, Poland"," Poznan"
"HS1EK","B","","Wyższa Szkoła Bankowa w Gdańsku",4,1,0.25,181322,62,2924.54838709677,"HS",54.3890797,18.5842916,"Aleja Grunwaldzka 238A, 80-266 Gdansk, Poland"," Gdansk"
"HS1EK","A","Wydział Zastosowań Informatyki i Matematyki","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",3,1,0.333333333333333,190057,74,2568.33783783784,"HS",52.1621201,21.0467135,"Nowoursynowska 166, 02-787 Warszawa, Poland"," Warszawa"
"HS1EK","A","Wydział Zarządzania","Uniwersytet Ekonomiczny w Katowicach",9,2,0.222222222222222,280932,110,2553.92727272727,"HS",50.2584208,19.0447436,"1 Maja 50, 40-287 Katowice, Poland"," Katowice"
"HS1EK","B","Wydział Nauk Społecznych i Informatyki","Wyższa Szkoła Biznesu - National Louis University",2,1,0.5,120170,48,2503.54166666667,"HS",49.6004463,20.6892831,"Zielona 27, 33-300 Nowy Sacz, Poland"," Nowy Sacz"
"HS1EK","B","Wydział Zarządzania i Ekonomiki Usług","Uniwersytet Szczeciński",23,3,0.130434782608696,360240,146.83,2453.44956752707,"HS",53.4027356,14.4980831,"Cukrowa 8, 71-004 Szczecin, Poland"," Szczecin"
"HS1EK","B","Wydział Zarządzania","Uniwersytet Gdański",19,2,0.105263157894737,337499,142,2376.75352112676,"HS",54.4425825,18.555863,"Armii Krajowej 101, 81-824 Sopot, Poland"," Sopot"
"HS1EK","B","Wydział Nauk Ekonomicznych","Politechnika Koszalińska",6,1,0.166666666666667,95577,52,1838.01923076923,"HS",54.205128,16.178362,"Eugeniusza Kwiatkowskiego 6, 75-343 Koszalin, Poland"," Koszalin"
"HS1EK","B","Wydział Zarządzania","Politechnika Częstochowska",2,1,0.5,336400,204,1649.01960784314,"HS",50.8224711,19.1161618,"gen. Jana Henryka Dabrowskiego 69, Czestochowa, Poland"," Czestochowa"
